company,date_posted,description,location,source,title,url
DecliTech Innovation -,29/01/2026,Offre d’emploi : Gestionnaire administrative à Ariana Vous êtes passionnée par la relation client et l’accompagnement personnalisé ? Rejoignez notre équipe dynamique en tant que...,"Ariana, Ariana, Tunisie",tanitjobs,Gestionnaire administrative à Ariana,https://www.tanitjobs.com/job/1978576/gestionnaire-administrative-%C3%A0-ariana/?backPage=1&searchID=1769677804.9771
SOLVE IT -,29/01/2026,"Dans le cadre du renforcement de notre équipe, nous recherchons un(e) ingénieur(e) informatique pour intégrer notre équipe. À propos de nous: Solve IT est une société ...","Sousse, Sousse, Tunisie",tanitjobs,ingénieur informatique,https://www.tanitjobs.com/job/1978564/ing%C3%A9nieur-informatique/?backPage=1&searchID=1769677804.9771
Enpal -,29/01/2026,"Enpal é il green unicorn 1° in Europa. Enpal  è un'azienda leader nel settore delle energie rinnovabili, specializzata nell'installazione di impianti fotovoltaici residenziali e commerciali. Fondata a Berlino nel...","Les berges du lac, Tunis, Tunisie",tanitjobs,Inside Sales – Energia Rinnovabile,https://www.tanitjobs.com/job/1978568/inside-sales-energia-rinnovabile/?backPage=1&searchID=1769677804.9771
Xpertcall -,29/01/2026,Nous recrutons immédiatement des Conseillers clients Helpdesk (prise de main à distance sur les postes clients) avec un très bon niveau en français et une expérience dans la relation client en support technique....,"Chotrana 2, Ariana, Tunisie",tanitjobs,Conseillers Clients Helpdesk (prise de main PC à distance),https://www.tanitjobs.com/job/1757053/conseillers-clients-helpdesk-prise-de-main-pc-%C3%A0-distance/?backPage=1&searchID=1769677804.9771
So Key Consulting -,29/01/2026,"Notre cabinet de conseil est innovant sur le marché avec des compétences technico-fonctionnelles reconnues. En nous rejoignant, vous vous verrez confier les missions suivantes : Analyse des besoins en collaboration avec...","Centre Urbain Nord, Ariana, Tunisie",tanitjobs,Comptable Junior (0-3ans),https://www.tanitjobs.com/job/1121901/comptable-junior-0-3ans/?backPage=2&searchID=1769677804.9771
Plazaimmo -,29/01/2026,"cherchons des jeunes maîtrisant l’outil informatique, qui veulent s’insérer dans l’immobilier, leurs tâches principales la prospection et le suivi des clients dans l’immobilier pour un premier...","Les Berges du Lac 2, Tunis, Tunisie",tanitjobs,Agent de prospection dans une agence immobilière,https://www.tanitjobs.com/job/1978565/agent-de-prospection-dans-une-agence-immobili%C3%A8re/?backPage=2&searchID=1769677804.9771
CARPRO -,29/01/2026,Vos missions • Réaliser des audits et inspections régulières des agences du réseau • Analyser les performances commerciales et après vente • Accompagner les agents dans...,"Tunis, Tunis, Tunisie",tanitjobs,Inspecteur Réseau Automobile,https://www.tanitjobs.com/job/1978560/inspecteur-r%C3%A9seau-automobile/?backPage=2&searchID=1769677804.9771
5 D SOLUTIONS -,29/01/2026,C'est tout d'abord un travail intéressant demandant un investissement personnel important donc des disponibilités larges en terme d'horaires. Il s'agit d'un poste en télétravail dans le secteur médical. Ce...,"Tunis, Tunis, Tunisie",tanitjobs,Francophone au service des patients et des médecins,https://www.tanitjobs.com/job/1978562/francophone-au-service-des-patients-et-des-m%C3%A9decins/?backPage=2&searchID=1769677804.9771
,29/01/2026,Présentation du poste Une entreprise française du secteur FoodTech recrute pour sa filiale basée à Tunis un(e) Chargé(e) de la relation clients B2B (Customer Success). Rattaché(e) à la...,"Monplaisir, Tunis, Tunisie",tanitjobs,Chargé(e) de la relation clients B2B (Customer Success),https://www.tanitjobs.com/job/1972485/charg%C3%A9-e-de-la-relation-clients-b2b-customer-success/?backPage=2&searchID=1769677804.9771
Societé SECUREX -,29/01/2026,SECUREX recherche un(e) stagiaire dynamique pour accompagner son développement commercial et renforcer sa présence numérique.,"Tunis, Tunis, Tunisie",tanitjobs,Stage en Marketing,https://www.tanitjobs.com/job/1978554/stage-en-marketing/?backPage=2&searchID=1769677804.9771
société multinationale -,29/01/2026,Société étrangère  spécialisée dans la fabrication de dispositifs médicaux située dans la région de Sahel souhaite recruter son OpEx Manager (Responsable Excellence...,"Sousse, Sousse, Tunisie",tanitjobs,Responsable Excellence opérationnelle,https://www.tanitjobs.com/job/1978556/responsable-excellence-op%C3%A9rationnelle/?backPage=2&searchID=1769677804.9771
Incorp Consulting Advisory -,29/01/2026,"Le/la candidat(e) interviendra sur des missions variées liées à la comptabilité, au juridique et à l’administratif, notamment : Tenue et suivi de la comptabilité courante...","Les Berges Du Lac 2, Tunis, Tunisie",tanitjobs,Comptabilité – Juridique – Administratif,https://www.tanitjobs.com/job/1978559/comptabilit%C3%A9-juridique-administratif/?backPage=2&searchID=1769677804.9771
SKY MEDICAL LABORATOIRE -,29/01/2026,"Nous recherchons un(e) assistant(e) logistique motivé(e) pour renforcer notre équipe. Le/la candidat(e) idéal(e) fera preuve de rigueur, d’un bon sens de l’organisation et d’un excellent relationnel. Ce...","Les Berges Du Lac ,Tunis, Tunisie",tanitjobs,Assistant(e) Logistique,https://www.tanitjobs.com/job/1978550/assistant-e-logistique/?backPage=2&searchID=1769677804.9771
Caudit -,29/01/2026,Société  de comptabilité à la  cherche d'un (e) comptable pour : Tenue de  comptabilité Organisation et classification des documents comptables Préparation des...,"Montplaisir, Tunis,Tunisie",tanitjobs,COMPTABLE,https://www.tanitjobs.com/job/1978553/comptable/?backPage=2&searchID=1769677804.9771
Maxcess logistics -,29/01/2026,"Nous recherchons un(e) Responsable Exploitation Senior pour rejoindre notre département logistique et transport. Vous serez en charge de la gestion opérationnelle des dossiers Import/Export, de la coordination avec nos fournisseurs,...","Rades, Ben arous, Tunisie",tanitjobs,Responsable Exploitation Senior – Transport & Logistique,https://www.tanitjobs.com/job/1978549/responsable-exploitation-senior-transport-logistique/?backPage=2&searchID=1769677804.9771
BNC -,29/01/2026,Définir et formaliser les procédures de fabrication d’un produit Assurer le suivre  l’optimisation du processus de fabrication Étudier et déterminer les procédures à suivre pour...,"Enfidha, Sousse, Tunisie",tanitjobs,Technicien méthode industrielle,https://www.tanitjobs.com/job/1957105/technicien-m%C3%A9thode-industrielle/?backPage=2&searchID=1769677804.9771
BNC -,29/01/2026,"Contribuer avec le Responsable de Méthodes de Production à l’élaboration du planning de production de manière à pouvoir répondre aux exigences de délais, quantité et qualité...","Enfidha, Sousse, Tunisie",tanitjobs,Responsable production,https://www.tanitjobs.com/job/1803438/responsable-production/?backPage=2&searchID=1769677804.9771
